Vendor ID,Vendor Name,Display Name,First Name,Last Name,Created Time,Company Name,Currency Code,Status,Last Modified Time,Vendor Number
9465000000328784,NAKHEEL AL WAHA TRADING EST,NAKHEEL AL WAHA TRADING EST,,,2024-08-06 10:10:43,,SAR,Active,2025-04-29 10:22:02,VEN-00022
9465000000379652,HALWANI BROS/حلواني اخوان,HALWANI BROS/حلواني اخوان,,,2024-08-07 14:21:37,,SAR,Active,2025-04-29 10:21:59,VEN-00041
9465000000348501,MAULA AL-DAWILAH TRADING&CO.,MAULA AL-DAWILAH TRADING&CO.,,,2024-08-06 17:07:25,,SAR,Active,2025-04-29 10:22:04,VEN-00027
9465000000353079,OHOOD FAISAL ALQAWAS FOODSTUFF CO.,OHOOD FAISAL ALQAWAS FOODSTUFF CO.,,,2024-08-06 18:32:10,,SAR,Active,2025-04-29 10:22:03,VEN-00032
9465000000429952,AL SAFA LUXURY TRADING CO.,AL SAFA LUXURY TRADING CO.,,,2024-08-08 18:21:46,,SAR,Active,2025-04-29 10:22:00,VEN-00043
9465000002148356,WONDERFUL FUTURE TRADING EST.,WONDERFUL FUTURE TRADING EST.,,,2024-08-26 09:48:06,,SAR,Active,2025-04-29 10:21:58,VEN-00050
9465000003158456,AFTAB FOODS COMPANY LLC,AFTAB FOODS COMPANY LLC,,,2024-09-01 09:00:47,,SAR,Active,2025-04-29 10:22:06,VEN-00054
9465000003370081,RAMA MODERN TRADING CO.(MADA),RAMA MODERN TRADING CO.(MADA),,,2024-09-09 17:22:52,,SAR,Active,2025-04-29 10:22:05,VEN-00060
9465000005764102,AL SAUDIA AL SHAMIQA RUBY MARK,AL SAUDIA AL SHAMIQA RUBY MARK,,,2024-11-10 09:31:21,,SAR,Active,2025-04-29 10:22:03,VEN-00071
9465000006409915,ROAA ABUBACKER ABDULLAH AFIF TRADING EST.,ROAA ABUBACKER ABDULLAH AFIF TRADING EST.,,,2024-12-02 13:10:11,,SAR,Active,2025-04-29 10:21:57,VEN-00076
9465000006699611,SUHAIM AHMED MOHAMMED FAEDL AL-GHAMDI EST.,SUHAIM AHMED MOHAMMED FAEDL AL-GHAMDI EST.,,,2024-12-07 12:02:19,,SAR,Active,2025-04-29 10:21:46,VEN-00081
9465000006935743,SAMA UNITED TRADING CO.,SAMA UNITED TRADING CO.,,,2024-12-21 15:25:08,,SAR,Active,2025-04-29 10:22:06,VEN-00087
9465000007963257,YAHYA NASIR YAHYA GARWI TRADING CO.,YAHYA NASIR YAHYA GARWI TRADING CO.,,,2025-01-17 10:54:58,,SAR,Active,2025-04-29 10:21:57,VEN-00093
9465000008757928,SUNBULAH GROUP,SUNBULAH GROUP,,,2025-01-27 09:29:07,,SAR,Active,2025-04-29 10:21:58,VEN-00098
9465000010104314,MOHAMMED MOUSA BOKHAMSEEN AND SONS COMPANY,MOHAMMED MOUSA BOKHAMSEEN AND SONS COMPANY,,,2025-02-24 10:07:38,,SAR,Active,2025-04-29 10:21:55,VEN-00102
9465000010866844,AL KHAYALIYAH,AL KHAYALIYAH,,,2025-03-02 12:59:09,,SAR,Active,2025-04-29 10:22:01,VEN-00106
9465000013191135,INTERNATIONAL FOOD&CONSUMABLE GOODS LTD,INTERNATIONAL FOOD&CONSUMABLE GOODS LTD,,,2025-04-06 08:43:30,,SAR,Active,2025-04-29 10:22:00,VEN-00111
9465000013565838,RONAQ AL FARIS TRADING CO.,RONAQ AL FARIS TRADING CO.,,,2025-04-14 23:42:04,,SAR,Active,2025-04-29 10:22:01,VEN-00114
9465000000152380,AKADI TRADING EST,AKADI TRADING EST,,,2024-08-05 11:10:56,,SAR,Active,2025-04-29 10:22:06,VEN-000041
9465000000160146,REFINERY DISTRICT TRADING CO. (RDT),REFINERY DISTRICT TRADING CO. (RDT),,,2024-08-05 13:12:59,REFINERY DISTRICT TRADING CO. (RDT),SAR,Active,2025-04-29 10:21:59,VEN-000057
9465000000161048,ALJAMEEL INTERNATIONAL TRADING CO.LTD,ALJAMEEL INTERNATIONAL TRADING CO.LTD,,,2024-08-05 15:46:47,ALJAMEEL INTERNATIONAL TRADING CO.LTD,SAR,Active,2025-04-29 10:21:57,VEN-00011
9465000000193438,AL SAHAH FOOD TRADING COMPANY,AL SAHAH FOOD TRADING COMPANY,,,2024-08-05 20:25:46,,SAR,Active,2025-04-29 10:21:55,VEN-00020
9465000000376839,NAS AL - SHARQ TRADING COMPANY,NAS AL - SHARQ TRADING COMPANY,,,2024-08-07 13:25:19,,SAR,Active,2025-04-29 10:22:03,VEN-00040
9465000000348250,MOHAMMED BAWAZIR FOR TRADING CO.LTD,MOHAMMED BAWAZIR FOR TRADING CO.LTD,,,2024-08-06 16:34:09,,SAR,Active,2025-04-29 10:22:02,VEN-00025
9465000000348850,SHAFLOUT TRADING CO.LTD(GHADEER),SHAFLOUT TRADING CO.LTD(GHADEER),,,2024-08-06 17:46:32,,SAR,Active,2025-04-29 10:22:05,VEN-00030
9465000000353524,SUKARIYATH,SUKARIYATH,,,2024-08-06 19:04:16,,SAR,Active,2025-04-29 10:22:04,VEN-00036
9465000001140670,SAMI KATHERI/مجارت سامي فاروق طالب الكثيري للمواد الغ,SAMI KATHERI/مجارت سامي فاروق طالب الكثيري للمواد الغ,,,2024-08-13 16:01:30,,SAR,Active,2025-04-29 10:21:59,VEN-00047
9465000003150184,RAMSONS TRADING CO.LTD,RAMSONS TRADING CO.LTD,,,2024-08-31 08:49:20,,SAR,Active,2025-04-29 10:22:05,VEN-00053
9465000003268156,AL-ANDALUS GARDENS .LTD,AL-ANDALUS GARDENS .LTD,,,2024-09-04 11:51:30,,SAR,Active,2025-04-29 10:21:55,VEN-00056
9465000004578137,MENA GULF TRADING COMPANY,MENA GULF TRADING COMPANY,,,2024-10-14 12:11:19,,SAR,Active,2025-04-29 10:21:58,VEN-00067
9465000006317440,KHAIRAT AL NUJOOM FOODSTUFF EST.,KHAIRAT AL NUJOOM FOODSTUFF EST.,,,2024-11-30 15:28:31,,SAR,Active,2025-04-29 10:21:56,VEN-00074
9465000006696998,AL SHAMIL ARABIAN TRADING CO.,AL SHAMIL ARABIAN TRADING CO.,,,2024-12-07 10:30:27,,SAR,Active,2025-04-29 10:22:00,VEN-00079
9465000006935434,AL AFZAL BAK AL ARABIA TRD CO.,AL AFZAL BAK AL ARABIA TRD CO.,,,2024-12-21 14:28:23,,SAR,Active,2025-04-29 10:22:02,VEN-00086
9465000007777109,DAR AL SHAI ALARABI TRD CO.,DAR AL SHAI ALARABI TRD CO.,,,2025-01-11 10:05:53,,SAR,Active,2025-04-29 10:22:02,VEN-00092
9465000008632357,FOOD STORE TRADING COMPANY,FOOD STORE TRADING COMPANY,,,2025-01-25 15:15:14,,SAR,Active,2025-04-29 10:22:03,VEN-00097
9465000010082452,AL SAFA HOUSEHOLD,AL SAFA HOUSEHOLD,,,2025-02-24 08:58:25,,SAR,Active,2025-04-29 10:21:57,VEN-00101
9465000010483646,AL-SHARQ FOOD CO.,AL-SHARQ FOOD CO.,,,2025-02-26 10:23:51,,SAR,Active,2025-04-29 10:21:56,VEN-00105
9465000013079143,NUJOOM HOUSE HOLD,NUJOOM HOUSE HOLD,,,2025-04-03 08:28:45,,SAR,Active,2025-04-29 10:22:01,VEN-00110
9465000013565729,SULTAN SADAQA HALAWANI TRADING EST,SULTAN SADAQA HALAWANI TRADING EST,,,2025-04-14 23:39:15,,SAR,Active,2025-04-29 10:22:03,VEN-00113
9465000014013348,ADMA SHAMRAN CATERING COMPANY LTD,ADMA SHAMRAN CATERING COMPANY LTD,,,2025-04-27 10:54:59,,SAR,Active,2025-04-29 10:21:55,VEN-00118
9465000014361834,WARID AL JAZEERA TRADING COMPANY,WARID AL JAZEERA TRADING COMPANY,,,2025-05-03 17:05:24,,SAR,Active,2025-05-03 17:05:24,VEN-00119
9465000014400738,FAJR AL TATWEER FACTORY FOR INDUSTRY COMPANY,FAJR AL TATWEER FACTORY FOR INDUSTRY COMPANY,,,2025-05-05 15:59:27,,SAR,Active,2025-05-05 15:59:27,VEN-00120
9465000014529568,SANA FOOD TRADING CO LTD,SANA FOOD TRADING CO LTD,,,2025-05-10 11:07:14,,SAR,Active,2025-05-10 11:07:14,VEN-00121
9465000015346005,LULU HYPER MARKET,LULU HYPER MARKET,,,2025-05-18 09:15:22,,SAR,Active,2025-05-18 09:15:22,VEN-00122
9465000015475031,BASAMAH/شركة باسمح التجارية المحدودة,BASAMAH/شركة باسمح التجارية المحدودة,,,2025-05-20 10:41:52,,SAR,Active,2025-05-20 10:41:52,VEN-00124
9465000015473022,PALM INTERNATIONAL COMPANY LIMITED,PALM INTERNATIONAL COMPANY LIMITED,,,2025-05-20 09:30:48,,SAR,Active,2025-05-20 09:30:48,VEN-00123
9465000015599598,WISSAM AL BARAKA TRADING EST,WISSAM AL BARAKA TRADING EST,,,2025-05-26 13:02:52,,SAR,Active,2025-05-26 13:02:52,VEN-00125
9465000015811350,MARAI-AL WATAN,MARAI-AL WATAN,MARAI-AL WATAN,,2025-05-29 13:42:07,Marai Al-Watan Food Product Factory,SAR,Active,2025-05-29 13:42:07,VEN-00126
9465000015834452,AL KHIRAT WAREHOUSE TRADING EST,AL KHIRAT WAREHOUSE TRADING EST,,,2025-05-31 10:17:52,,SAR,Active,2025-05-31 10:17:52,VEN-00127
9465000015899325,NASR ALSHARQ TRADING COMPANY,NASR ALSHARQ TRADING COMPANY,,,2025-06-01 08:49:13,,SAR,Active,2025-06-01 08:49:13,VEN-00128
9465000015967315,FOOD MODERNTRADING CO.,FOOD MODERNTRADING CO.,,,2025-06-02 08:28:34,,SAR,Active,2025-06-02 08:28:34,VEN-00129
9465000017400125,PANDA,PANDA,,,2025-06-23 00:42:44,,SAR,Active,2025-06-23 00:42:44,VEN-00130
9465000018588251,OASES SADIK,OASES SADIK,,,2025-06-29 22:16:10,,SAR,Active,2025-06-29 22:16:10,VEN-00131
9465000018737533,KHALID HADI AL MARRI TRADING CO.(LLC),KHALID HADI AL MARRI TRADING CO.(LLC),,,2025-07-01 13:56:11,,SAR,Active,2025-07-01 13:56:11,VEN-00132
9465000019357375,DIYAFATI FOR TRADING CO.,DIYAFATI FOR TRADING CO.,,,2025-07-06 12:10:30,,SAR,Active,2025-07-06 12:20:13,VEN-00133
9465000019384261,ADUKAN LIMITED COMPANY,ADUKAN LIMITED COMPANY,,,2025-07-06 16:24:24,,SAR,Active,2025-07-06 16:24:24,VEN-00134
9465000019676154,Abdul Qader Siddiq Abdul Rahman Momen Khan Est.,Abdul Qader Siddiq Abdul Rahman Momen Khan Est.,,,2025-07-13 11:28:14,,SAR,Active,2025-07-13 11:28:14,VEN-00135
9465000020191663,ORIENT DEAL AL-SHARQ DEAL TRADING EST.,ORIENT DEAL AL-SHARQ DEAL TRADING EST.,,,2025-07-20 09:06:49,,SAR,Active,2025-07-20 09:06:49,VEN-00136
